Title,Location,Price,Size,Listing_Type
"1 Bedroom Apartment For Rent Al Hail, Muscat","Al Hail, Muscat",OMR300,100 Sq. M.,For Rent
"2 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",OMR200,89 Sq. M.,For Rent
"1 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",OMR150,68 Sq. M.,For Rent
"2 Bedroom Chalet For Rent in Barka, Al Batinah","Barka, Al Batinah",OMR50,"3,000 Sq. M.",For Rent
"1 Bedroom Apartment For Rent in Muscat Hills, Muscat","Muscat Hills, Muscat",OMR499,88 Sq. M.,For Rent
"6 Bedroom Villa For Rent Qurum, Muscat","Qurum, Muscat",OMR650,300 Sq. M.,For Rent
2 Bedroom Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat",OMR850,10 Sq. M.,For Rent
"3 Bedrooms Villa For Rent Bosher, Muscat","Bosher, Muscat",OMR850,300 Sq. M.,For Rent
1 Bedroom Apartment For Rent Al Mawaleh Muscat,"Al Mawaleh, Muscat",OMR150,30 Sq. M.,For Rent
"4 Bedroom Villa For Rent in Bosher, Muscat","Bosher, Muscat",OMR850,245 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Al Ghubrah, Muscat","Al Ghubrah, Muscat",OMR500,120 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Bosher, Muscat","Bosher, Muscat",OMR250,100 Sq. M.,For Rent
"2 Bedroom Apartment For Rent Bosher, Muscat","Bosher, Muscat",OMR495,109 Sq. M.,For Rent
"1 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",OMR150,70 Sq. M.,For Rent
"3 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",OMR750,300 Sq. M.,For Rent
"4 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",OMR950,300 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent in Al Hamriyah, Muscat","Al Hamriyah, Muscat",OMR250,100 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat","Al Wadi Al Kabir, Muscat",OMR230,100 Sq. M.,For Rent
"2 Bedrooms Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",OMR250,100 Sq. M.,For Rent
"1 Bedroom Apartment For Rent in Bosher, Muscat","Al Ghubrah, Muscat",OMR450,120 Sq. M.,For Rent
4 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",OMR800,700 Sq. M.,For Rent
"5 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat","OMR1,000",450 Sq. M.,For Rent
"4 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",OMR700,450 Sq. M.,For Rent
"3 Bedroom Villa For Rent in Qurum, Muscat","Qurum, Muscat","OMR1,800",350 Sq. M.,For Rent
4 Bedrooms Villa For Rent Qurum Muscat,"Qurum, Muscat","OMR2,600",648 Sq. M.,For Rent
"4 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat","OMR1,800",300 Sq. M.,For Rent
"6 Bedrooms Villa For Rent Azaiba, Muscat","Azaiba, Muscat","OMR1,000",600 Sq. M.,For Rent
"5 Bedrooms Villa For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",OMR700,459 Sq. M.,For Rent
"12 Bedroom Villa For Rent in Al Mawaleh, Muscat","Al Mawaleh, Muscat","OMR3,500",711 Sq. M.,For Rent
"6 Bed Villa For Rent Bosher, Muscat","Bosher, Muscat",OMR950,650 Sq. M.,For Rent
"4 Bedrooms Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",OMR450,359 Sq. M.,For Rent
