,Title,Location,Price,Size,Listing_Type
0,Furnished Daily in Dhofar Salala,"Dhofar, Salala",40 OMR,Furnished Daily in Dhofar Salala,For Rent
1,400 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",350 OMR,400 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,For Rent
2,80 m2 2 Bedrooms Apartments for Rent in Muscat Sidab,"Muscat, Sidab",140 OMR,80 m2 2 Bedrooms Apartments for Rent in Muscat Sidab,For Rent
3,130 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",220 OMR,130 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,For Rent
4,135 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",80 OMR,135 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
5,2 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",150 OMR,2 Bedrooms Chalet for Rent in Dhofar Salala,For Rent
6,More than 6 bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",140 OMR,More than 6 bedrooms Chalet for Rent in Dhofar Salala,For Rent
7,1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
8,محلات للإيجار في السيح الأحمر,"Al Dakhiliya, Bidbid",80 OMR,محلات للإيجار في السيح الأحمر,For Rent
9,Homran House,"Dhofar, Salala",45 OMR,Homran House,For Rent
10,89 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",300 OMR,89 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,For Rent
11,80 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,80 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
12,Furnished Daily in Dhofar Salala,"Dhofar, Salala",20 OMR,Furnished Daily in Dhofar Salala,For Rent
13,From Owner direct fully furnished flat for rent من المالك شقة مفروشة بالكامل للإيجار مسقط هيلز,"Muscat, Muscat Hills",550 OMR,From Owner direct fully furnished flat for rent من المالك شقة مفروشة بالكامل للإيجار مسقط هيلز,For Rent
14,3 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",55 OMR,3 Bedrooms Chalet for Rent in Al Batinah Barka,For Rent
15,Furnished Daily in Muscat Ansab,"Muscat, Ansab",10 OMR,Furnished Daily in Muscat Ansab,For Rent
16,70 m2 1 Bedroom Apartments for Rent in Muscat Amerat,"Muscat, Amerat",9 OMR,70 m2 1 Bedroom Apartments for Rent in Muscat Amerat,For Rent
17,5 Bedrooms Chalet for Rent in Dhofar Mirbat,"Dhofar, Mirbat",85 OMR,5 Bedrooms Chalet for Rent in Dhofar Mirbat,For Rent
18,145 m2 2 Bedrooms Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",410 OMR,145 m2 2 Bedrooms Apartments for Rent in Muscat Ghubrah,For Rent
19,Office for Rent in Avenues Mall Ghoubra مكتب للإيجار في أفنيوز مول الغبرة,"Muscat, Ghubrah",150 OMR,Office for Rent in Avenues Mall Ghoubra مكتب للإيجار في أفنيوز مول الغبرة,For Rent
20,300 m2 2 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",90 OMR,300 m2 2 Bedrooms Villa for Rent in Dhofar Salala,For Rent
21,مكتب  للايجار في موقع مميز العاصمه مسقط خط الشارع السلطان قابوس مقابل ايكيا,"Muscat, Ghubrah",675 OMR,مكتب  للايجار في موقع مميز العاصمه مسقط خط الشارع السلطان قابوس مقابل ايكيا,For Rent
22,Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",20 OMR,Furnished Daily in Muscat Al Maabilah,For Rent
23,200 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Other,"Al Sharqiya, Other",20 OMR,200 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Other,For Rent
24,FLAT FOR RENT,"Muscat, Al Khuwair",230 OMR,FLAT FOR RENT,For Rent
25,1400 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",140 OMR,1400 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,For Rent
26,300 m2 4 Bedrooms Townhouse for Rent in Dhofar Taqah,"Dhofar, Taqah",50 OMR,300 m2 4 Bedrooms Townhouse for Rent in Dhofar Taqah,For Rent
27,Flat for rent (inclusive of bills),"Muscat, Al Maabilah",175 OMR,Flat for rent (inclusive of bills),For Rent
28,Townhouse for rent in Shatti al Qurm.,"Muscat, Qurm",750 OMR,Townhouse for rent in Shatti al Qurm.,For Rent
29,120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
30,12 m2 1 Bedroom Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",7 OMR,12 m2 1 Bedroom Apartments for Rent in Muscat Al Maabilah,For Rent
31,Furnished Daily in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",7 OMR,Furnished Daily in Al Dakhiliya Nizwa,For Rent
32,90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
